,Unnamed: 0,qkey,attribute,group,D_H,R_H
7111,30,IMPROVE2_W36,POLIDEOLOGY,Conservative,"[0.09515068, 0.33852909, 0.38149954, 0.18482068]",0.0095949838602378
7112,31,IMPROVE2_W36,POLIDEOLOGY,Liberal,"[0.28594704, 0.49133697, 0.14424923, 0.07846676]",0.0056557869920656
7113,32,IMPROVE2_W36,POLIDEOLOGY,Moderate,"[0.15061841, 0.43291669, 0.30760207, 0.10886283]",0.0098220931919775
7114,33,IMPROVE2_W36,POLIDEOLOGY,Very conservative,"[0.11495224, 0.21922085, 0.36182463, 0.30400228]",0.0136887081769942
7115,34,IMPROVE2_W36,POLIDEOLOGY,Very liberal,"[0.32630756, 0.41742584, 0.19971558, 0.05655102]",0.0024088475936791
7116,35,ESSENPOLF1B_W36,POLIDEOLOGY,Conservative,"[0.54228063, 0.41388064, 0.04383873]",0.0009742898021799
7117,36,ESSENPOLF1B_W36,POLIDEOLOGY,Liberal,"[0.77028348, 0.20740636, 0.02231016]",0.0
7118,37,ESSENPOLF1B_W36,POLIDEOLOGY,Moderate,"[0.70951231, 0.23032272, 0.06016497]",0.0
7119,38,ESSENPOLF1B_W36,POLIDEOLOGY,Very conservative,"[0.4561346, 0.39157976, 0.15228564]",0.0121651015495375
7120,39,ESSENPOLF1B_W36,POLIDEOLOGY,Very liberal,"[0.79562, 0.12328143, 0.08109857]",0.0
7131,50,BETTERBIZ2F2F_W36,POLIDEOLOGY,Conservative,"[0.57095149, 0.03628516, 0.39276335]",0.0044270229822541
7132,51,BETTERBIZ2F2F_W36,POLIDEOLOGY,Liberal,"[0.34316773, 0.03034035, 0.62649192]",0.0126656005727941
7133,52,BETTERBIZ2F2F_W36,POLIDEOLOGY,Moderate,"[0.48887569, 0.01439764, 0.49672667]",0.0141778898714698
7134,53,BETTERBIZ2F2F_W36,POLIDEOLOGY,Very conservative,"[0.44776198, 0.00286886, 0.54936916]",0.0071279754749328
7135,54,BETTERBIZ2F2F_W36,POLIDEOLOGY,Very liberal,"[0.2169282, 0.01665187, 0.76641993]",0.0
7141,60,IMPROVE1_W36,POLIDEOLOGY,Conservative,"[0.1964237, 0.46971504, 0.23751195, 0.09634931]",0.0069990366564324
7142,61,IMPROVE1_W36,POLIDEOLOGY,Liberal,"[0.53591652, 0.37482676, 0.06456552, 0.02469119]",0.0129331036597058
7143,62,IMPROVE1_W36,POLIDEOLOGY,Moderate,"[0.37111147, 0.4473624, 0.12314106, 0.05838508]",0.0087022104180776
7144,63,IMPROVE1_W36,POLIDEOLOGY,Very conservative,"[0.14883472, 0.3705767, 0.26106448, 0.2195241]",0.0087693129104494
7145,64,IMPROVE1_W36,POLIDEOLOGY,Very liberal,"[0.63154455, 0.28063451, 0.05213019, 0.03569075]",0.0103304131863139
7146,65,WHYNOTBIZF2N_W36,POLIDEOLOGY,Conservative,"[0.20165631, 0.40565378, 0.3926899]",0.0
7147,66,WHYNOTBIZF2N_W36,POLIDEOLOGY,Liberal,"[0.2982076, 0.40483713, 0.29695528]",0.0172207405930044
7148,67,WHYNOTBIZF2N_W36,POLIDEOLOGY,Moderate,"[0.24438816, 0.39875493, 0.35685691]",0.000212645156348
7149,68,WHYNOTBIZF2N_W36,POLIDEOLOGY,Very conservative,"[0.23955266, 0.34191844, 0.4185289]",0.0
7150,69,WHYNOTBIZF2N_W36,POLIDEOLOGY,Very liberal,"[0.26149538, 0.39133414, 0.34717049]",0.0
7156,75,WHYNOTPOLF1I_W36,POLIDEOLOGY,Conservative,"[0.37714392, 0.43767602, 0.18518006]",0.0042227895226582
7157,76,WHYNOTPOLF1I_W36,POLIDEOLOGY,Liberal,"[0.19673016, 0.43893515, 0.36433469]",0.0059841311141604
7158,77,WHYNOTPOLF1I_W36,POLIDEOLOGY,Moderate,"[0.26472074, 0.46410197, 0.27117729]",0.0016414838014887
7159,78,WHYNOTPOLF1I_W36,POLIDEOLOGY,Very conservative,"[0.33798869, 0.42376738, 0.23824393]",0.0
7160,79,WHYNOTPOLF1I_W36,POLIDEOLOGY,Very liberal,"[0.1274846, 0.34126294, 0.53125245]",0.023486538025271
7161,80,BETTERPOL2F1A_W36,POLIDEOLOGY,Conservative,"[0.21036037, 0.11452084, 0.67511879]",0.0037526208193591
7162,81,BETTERPOL2F1A_W36,POLIDEOLOGY,Liberal,"[0.1024644, 0.16823065, 0.72930495]",0.0
7163,82,BETTERPOL2F1A_W36,POLIDEOLOGY,Moderate,"[0.09896234, 0.18503925, 0.71599841]",0.0005261131416011
7164,83,BETTERPOL2F1A_W36,POLIDEOLOGY,Very conservative,"[0.22264729, 0.14937882, 0.6279739]",0.006912999331132
7165,84,BETTERPOL2F1A_W36,POLIDEOLOGY,Very liberal,"[0.0444437, 0.25785862, 0.69769768]",0.0081579202293092
7166,85,WHYNOTPOLF1B_W36,POLIDEOLOGY,Conservative,"[0.32081565, 0.40146397, 0.27772038]",0.0
7167,86,WHYNOTPOLF1B_W36,POLIDEOLOGY,Liberal,"[0.60872771, 0.27247865, 0.11879365]",0.0
7168,87,WHYNOTPOLF1B_W36,POLIDEOLOGY,Moderate,"[0.50175164, 0.36270314, 0.13554522]",0.0123488573676627
7169,88,WHYNOTPOLF1B_W36,POLIDEOLOGY,Very conservative,"[0.24761954, 0.30729662, 0.44508384]",0.0126463791063972
7170,89,WHYNOTPOLF1B_W36,POLIDEOLOGY,Very liberal,"[0.80679836, 0.12921626, 0.06398538]",0.0
7176,95,BETTERPOL2F1D_W36,POLIDEOLOGY,Conservative,"[0.50875271, 0.03831247, 0.45293483]",0.0
7177,96,BETTERPOL2F1D_W36,POLIDEOLOGY,Liberal,"[0.17142459, 0.09238401, 0.7361914]",0.0326438944039393
7178,97,BETTERPOL2F1D_W36,POLIDEOLOGY,Moderate,"[0.35232017, 0.03774541, 0.60993442]",0.0036288914590449
7179,98,BETTERPOL2F1D_W36,POLIDEOLOGY,Very conservative,"[0.47091888, 0.0428037, 0.48627742]",0.00122433598913
7180,99,BETTERPOL2F1D_W36,POLIDEOLOGY,Very liberal,"[0.24605952, 0.12957535, 0.62436513]",0.0
7181,100,BETTERPOL1F1B_W36,POLIDEOLOGY,Conservative,"[0.06881277, 0.49896387, 0.43222336]",0.0046603111866513
7182,101,BETTERPOL1F1B_W36,POLIDEOLOGY,Liberal,"[0.04718792, 0.66907372, 0.28373836]",0.0134178709801153
7183,102,BETTERPOL1F1B_W36,POLIDEOLOGY,Moderate,"[0.03728597, 0.64983982, 0.31287421]",0.0
7184,103,BETTERPOL1F1B_W36,POLIDEOLOGY,Very conservative,"[0.02774135, 0.53150743, 0.44075122]",0.0121651015495375
7185,104,BETTERPOL1F1B_W36,POLIDEOLOGY,Very liberal,"[0.0966968, 0.6806945, 0.2226087]",0.0012136937781979
7186,105,HIGHEDWRNGC_W36,POLIDEOLOGY,Conservative,"[0.77068448, 0.1599997, 0.06931582]",0.0
7187,106,HIGHEDWRNGC_W36,POLIDEOLOGY,Liberal,"[0.27574863, 0.40952534, 0.31472603]",0.0008234655378706
7188,107,HIGHEDWRNGC_W36,POLIDEOLOGY,Moderate,"[0.48384371, 0.33537613, 0.18078016]",0.016170264766607
7189,108,HIGHEDWRNGC_W36,POLIDEOLOGY,Very conservative,"[0.80696309, 0.10744584, 0.08559107]",0.0023882571936604
7190,109,HIGHEDWRNGC_W36,POLIDEOLOGY,Very liberal,"[0.25842296, 0.34206771, 0.39950933]",0.000813993093917
7201,120,WHYNOTBIZF2G_W36,POLIDEOLOGY,Conservative,"[0.24431072, 0.31323727, 0.44245201]",0.0020895538349261
7202,121,WHYNOTBIZF2G_W36,POLIDEOLOGY,Liberal,"[0.46807698, 0.22636357, 0.30555944]",0.0
7203,122,WHYNOTBIZF2G_W36,POLIDEOLOGY,Moderate,"[0.30784802, 0.348535, 0.34361698]",0.0192924480182466
7204,123,WHYNOTBIZF2G_W36,POLIDEOLOGY,Very conservative,"[0.13957929, 0.32312933, 0.53729138]",0.0
7205,124,WHYNOTBIZF2G_W36,POLIDEOLOGY,Very liberal,"[0.6103631, 0.24019978, 0.14943712]",0.0
7206,125,TRAITBIZWF2G_W36,POLIDEOLOGY,Conservative,"[0.72081659, 0.07044735, 0.20873606]",0.0086426626443591
7207,126,TRAITBIZWF2G_W36,POLIDEOLOGY,Liberal,"[0.78864863, 0.11169161, 0.09965976]",0.0006980711777404
7208,127,TRAITBIZWF2G_W36,POLIDEOLOGY,Moderate,"[0.66802052, 0.09700185, 0.23497763]",0.0288003548845448
7209,128,TRAITBIZWF2G_W36,POLIDEOLOGY,Very conservative,"[0.56872607, 0.03638394, 0.39488999]",0.0071279754749328
7210,129,TRAITBIZWF2G_W36,POLIDEOLOGY,Very liberal,"[0.77514191, 0.07497061, 0.14988748]",0.0
7216,135,WHYNOTBIZF2M_W36,POLIDEOLOGY,Conservative,"[0.19076213, 0.42467317, 0.3845647]",0.0
7217,136,WHYNOTBIZF2M_W36,POLIDEOLOGY,Liberal,"[0.33774643, 0.43015278, 0.2321008]",0.0004849574604024
7218,137,WHYNOTBIZF2M_W36,POLIDEOLOGY,Moderate,"[0.24364352, 0.43562074, 0.32073574]",0.0003627581045045
7219,138,WHYNOTBIZF2M_W36,POLIDEOLOGY,Very conservative,"[0.10013822, 0.30493638, 0.5949254]",0.0029543989936987
7220,139,WHYNOTBIZF2M_W36,POLIDEOLOGY,Very liberal,"[0.34259568, 0.41504208, 0.24236224]",0.0
7226,145,HIGHEDWRNGB_W36,POLIDEOLOGY,Conservative,"[0.84083161, 0.12135675, 0.03781164]",0.0003248623492679
7227,146,HIGHEDWRNGB_W36,POLIDEOLOGY,Liberal,"[0.15098051, 0.37913252, 0.46988698]",0.0005955480063507
7228,147,HIGHEDWRNGB_W36,POLIDEOLOGY,Moderate,"[0.40476917, 0.3429358, 0.25229503]",0.0186270001860617
7229,148,HIGHEDWRNGB_W36,POLIDEOLOGY,Very conservative,"[0.81833196, 0.11118087, 0.07048718]",0.0016696951182448
7230,149,HIGHEDWRNGB_W36,POLIDEOLOGY,Very liberal,"[0.14382231, 0.3362178, 0.51995989]",0.0
7231,150,TRAITBIZMF2G_W36,POLIDEOLOGY,Conservative,"[0.46837835, 0.06415223, 0.46746942]",0.0015046569123595
7232,151,TRAITBIZMF2G_W36,POLIDEOLOGY,Liberal,"[0.62004959, 0.05105078, 0.32889963]",0.0
7233,152,TRAITBIZMF2G_W36,POLIDEOLOGY,Moderate,"[0.58566653, 0.02724962, 0.38708385]",0.0265720898127127
7234,153,TRAITBIZMF2G_W36,POLIDEOLOGY,Very conservative,"[0.41910503, 0.06456458, 0.51633039]",0.0
7235,154,TRAITBIZMF2G_W36,POLIDEOLOGY,Very liberal,"[0.65394709, 0.0, 0.34605291]",0.0012546563583215
7246,165,WHYNOTBIZF2O_W36,POLIDEOLOGY,Conservative,"[0.32868992, 0.40556598, 0.2657441]",0.0
7247,166,WHYNOTBIZF2O_W36,POLIDEOLOGY,Liberal,"[0.5510562, 0.37096725, 0.07797655]",0.0
7248,167,WHYNOTBIZF2O_W36,POLIDEOLOGY,Moderate,"[0.43424543, 0.41040582, 0.15534875]",0.0
7249,168,WHYNOTBIZF2O_W36,POLIDEOLOGY,Very conservative,"[0.24305675, 0.31034948, 0.44659377]",0.0
7250,169,WHYNOTBIZF2O_W36,POLIDEOLOGY,Very liberal,"[0.59516779, 0.36306303, 0.04176918]",0.0030128099068018
7261,180,WHYNOTBIZF2A_W36,POLIDEOLOGY,Conservative,"[0.31547106, 0.37605177, 0.30847717]",0.0030480341909985
7262,181,WHYNOTBIZF2A_W36,POLIDEOLOGY,Liberal,"[0.5382172, 0.30337473, 0.15840807]",0.0036018357424639
7263,182,WHYNOTBIZF2A_W36,POLIDEOLOGY,Moderate,"[0.52378934, 0.3624667, 0.11374397]",0.0134083257950634
7264,183,WHYNOTBIZF2A_W36,POLIDEOLOGY,Very conservative,"[0.27106934, 0.37266542, 0.35626524]",0.0332297858387978
7265,184,WHYNOTBIZF2A_W36,POLIDEOLOGY,Very liberal,"[0.68648287, 0.24269429, 0.07082284]",0.0
7271,190,POLCHF1_W36,POLIDEOLOGY,Conservative,"[0.56182758, 0.23931537, 0.19885705]",0.0300088239490549
7272,191,POLCHF1_W36,POLIDEOLOGY,Liberal,"[0.52772262, 0.29981531, 0.17246207]",0.0228443440684306
7273,192,POLCHF1_W36,POLIDEOLOGY,Moderate,"[0.54042535, 0.29342218, 0.16615247]",0.0227498958549468
7274,193,POLCHF1_W36,POLIDEOLOGY,Very conservative,"[0.49419288, 0.21505598, 0.29075114]",0.055825913067847
7275,194,POLCHF1_W36,POLIDEOLOGY,Very liberal,"[0.48464116, 0.28298096, 0.23237788]",0.0335963221238532
7276,195,BETTERBIZ1F2H_W36,POLIDEOLOGY,Conservative,"[0.35697325, 0.07957226, 0.56345449]",0.0064548147712895
7277,196,BETTERBIZ1F2H_W36,POLIDEOLOGY,Liberal,"[0.17973402, 0.09838617, 0.72187981]",0.0336488084469716
7278,197,BETTERBIZ1F2H_W36,POLIDEOLOGY,Moderate,"[0.32685454, 0.07504137, 0.59810409]",0.0220712103738133
7279,198,BETTERBIZ1F2H_W36,POLIDEOLOGY,Very conservative,"[0.29777548, 0.05352491, 0.64869961]",0.0495493511815839
7280,199,BETTERBIZ1F2H_W36,POLIDEOLOGY,Very liberal,"[0.18822414, 0.11686005, 0.69491581]",0.0169546160423963
7281,200,WHYNOTPOLF1J_W36,POLIDEOLOGY,Conservative,"[0.27785375, 0.43945843, 0.28268783]",0.001899557924984
7282,201,WHYNOTPOLF1J_W36,POLIDEOLOGY,Liberal,"[0.58050653, 0.31032097, 0.10917251]",0.0
7283,202,WHYNOTPOLF1J_W36,POLIDEOLOGY,Moderate,"[0.44536239, 0.3962993, 0.15833831]",0.0003788089606921
7284,203,WHYNOTPOLF1J_W36,POLIDEOLOGY,Very conservative,"[0.26261395, 0.35532328, 0.38206277]",0.0281176478091122
7285,204,WHYNOTPOLF1J_W36,POLIDEOLOGY,Very liberal,"[0.58656998, 0.26910506, 0.14432496]",0.0
7291,210,BETTERPOL1F1I_W36,POLIDEOLOGY,Conservative,"[0.05896086, 0.40861945, 0.53241969]",0.0105320272422271
7292,211,BETTERPOL1F1I_W36,POLIDEOLOGY,Liberal,"[0.06012646, 0.39976153, 0.54011201]",0.0004175057756024
7293,212,BETTERPOL1F1I_W36,POLIDEOLOGY,Moderate,"[0.01441173, 0.43274538, 0.55284289]",0.0008306753515462
7294,213,BETTERPOL1F1I_W36,POLIDEOLOGY,Very conservative,"[0.04687906, 0.25288687, 0.70023407]",0.00122433598913
7295,214,BETTERPOL1F1I_W36,POLIDEOLOGY,Very liberal,"[0.01931028, 0.55436535, 0.42632437]",0.0007990364119329
7306,225,TRAITPOLWF1A_W36,POLIDEOLOGY,Conservative,"[0.66523891, 0.06625096, 0.26851013]",0.0218883374332152
7307,226,TRAITPOLWF1A_W36,POLIDEOLOGY,Liberal,"[0.64232552, 0.15278775, 0.20488673]",0.007753300972032
7308,227,TRAITPOLWF1A_W36,POLIDEOLOGY,Moderate,"[0.65091926, 0.12002244, 0.2290583]",0.0037813649397515
7309,228,TRAITPOLWF1A_W36,POLIDEOLOGY,Very conservative,"[0.6250398, 0.08649066, 0.28846954]",0.0
7310,229,TRAITPOLWF1A_W36,POLIDEOLOGY,Very liberal,"[0.55817946, 0.17787579, 0.26394475]",0.000434810579446
7311,230,BETTERPOL2F1C_W36,POLIDEOLOGY,Conservative,"[0.21523453, 0.16419652, 0.62056895]",0.0183034868053918
7312,231,BETTERPOL2F1C_W36,POLIDEOLOGY,Liberal,"[0.05005325, 0.36475986, 0.58518689]",0.0012172082258645
7313,232,BETTERPOL2F1C_W36,POLIDEOLOGY,Moderate,"[0.12553597, 0.25707412, 0.61738991]",0.0024935921915924
7314,233,BETTERPOL2F1C_W36,POLIDEOLOGY,Very conservative,"[0.28120168, 0.08443455, 0.63436377]",0.00122433598913
7315,234,BETTERPOL2F1C_W36,POLIDEOLOGY,Very liberal,"[0.00605538, 0.42537691, 0.56856772]",0.001956345416475
7316,235,TRAITPOLMF1G_W36,POLIDEOLOGY,Conservative,"[0.42823675, 0.00283162, 0.56893163]",0.0020099256367148
7317,236,TRAITPOLMF1G_W36,POLIDEOLOGY,Liberal,"[0.48178862, 0.01476184, 0.50344954]",0.0
7318,237,TRAITPOLMF1G_W36,POLIDEOLOGY,Moderate,"[0.53490236, 0.04114261, 0.42395503]",0.0023739329061946
7319,238,TRAITPOLMF1G_W36,POLIDEOLOGY,Very conservative,"[0.36799724, 0.06216858, 0.56983417]",0.0
7320,239,TRAITPOLMF1G_W36,POLIDEOLOGY,Very liberal,"[0.58128074, 0.00287206, 0.4158472]",0.0043700901752258
7331,250,WHYNOTBIZF2D_W36,POLIDEOLOGY,Conservative,"[0.04845578, 0.30644156, 0.64510266]",0.0030147321352434
7332,251,WHYNOTBIZF2D_W36,POLIDEOLOGY,Liberal,"[0.11309717, 0.09514312, 0.79175971]",0.0
7333,252,WHYNOTBIZF2D_W36,POLIDEOLOGY,Moderate,"[0.1122974, 0.27896499, 0.60873761]",0.0127103223700311
7334,253,WHYNOTBIZF2D_W36,POLIDEOLOGY,Very conservative,"[0.1005873, 0.41998158, 0.47943112]",0.0332297858387978
7335,254,WHYNOTBIZF2D_W36,POLIDEOLOGY,Very liberal,"[0.15329296, 0.04004756, 0.80665948]",0.0
7336,255,TRAITBIZWF2D_W36,POLIDEOLOGY,Conservative,"[0.65325931, 0.02251601, 0.32422468]",0.0076834761257921
7337,256,TRAITBIZWF2D_W36,POLIDEOLOGY,Liberal,"[0.47110784, 0.17677523, 0.35211692]",0.0086677279556438
7338,257,TRAITBIZWF2D_W36,POLIDEOLOGY,Moderate,"[0.64313631, 0.06216514, 0.29469855]",0.0074471064650914
7339,258,TRAITBIZWF2D_W36,POLIDEOLOGY,Very conservative,"[0.67255027, 0.01855842, 0.30889131]",0.0332297858387978
7340,259,TRAITBIZWF2D_W36,POLIDEOLOGY,Very liberal,"[0.5505585, 0.14155593, 0.30788557]",0.0468101642266252
7341,260,TRAITPOLWF1C_W36,POLIDEOLOGY,Conservative,"[0.55380783, 0.1578556, 0.28833657]",0.0104303562606886
7342,261,TRAITPOLWF1C_W36,POLIDEOLOGY,Liberal,"[0.50881682, 0.29156224, 0.19962095]",0.0
7343,262,TRAITPOLWF1C_W36,POLIDEOLOGY,Moderate,"[0.58228056, 0.21148267, 0.20623677]",0.0019579404734573
7344,263,TRAITPOLWF1C_W36,POLIDEOLOGY,Very conservative,"[0.48813641, 0.13061284, 0.38125075]",0.0
7345,264,TRAITPOLWF1C_W36,POLIDEOLOGY,Very liberal,"[0.33696751, 0.49821, 0.16482249]",0.0
7346,265,IMPROVE3_W36,POLIDEOLOGY,Conservative,"[0.12555212, 0.44229896, 0.30976819, 0.12238073]",0.0086920564234814
7347,266,IMPROVE3_W36,POLIDEOLOGY,Liberal,"[0.45809195, 0.41534392, 0.10272559, 0.02383854]",0.0048692054395718
7348,267,IMPROVE3_W36,POLIDEOLOGY,Moderate,"[0.27230612, 0.45521146, 0.19174969, 0.08073273]",0.0024616505753241
7349,268,IMPROVE3_W36,POLIDEOLOGY,Very conservative,"[0.1236493, 0.22945201, 0.35708429, 0.28981439]",0.0076840172341246
7350,269,IMPROVE3_W36,POLIDEOLOGY,Very liberal,"[0.55750503, 0.30955498, 0.09270203, 0.04023796]",0.0100195509385907
7351,270,TRAITBIZMF2C_W36,POLIDEOLOGY,Conservative,"[0.75457956, 0.0599823, 0.18543813]",0.0020895538349261
7352,271,TRAITBIZMF2C_W36,POLIDEOLOGY,Liberal,"[0.74769664, 0.0312468, 0.22105656]",0.0009336432615635
7353,272,TRAITBIZMF2C_W36,POLIDEOLOGY,Moderate,"[0.67862717, 0.05462162, 0.2667512]",0.0102191098125849
7354,273,TRAITBIZMF2C_W36,POLIDEOLOGY,Very conservative,"[0.77372962, 0.02340549, 0.20286489]",0.0332297858387978
7355,274,TRAITBIZMF2C_W36,POLIDEOLOGY,Very liberal,"[0.71857279, 0.14813954, 0.13328768]",0.0
7366,285,BETTERPOL2F1F_W36,POLIDEOLOGY,Conservative,"[0.31679876, 0.06323327, 0.61996797]",0.0047514314119584
7367,286,BETTERPOL2F1F_W36,POLIDEOLOGY,Liberal,"[0.11678556, 0.37876631, 0.50444813]",0.0160479735794983
7368,287,BETTERPOL2F1F_W36,POLIDEOLOGY,Moderate,"[0.24220102, 0.17943116, 0.57836783]",0.0041862411724581
7369,288,BETTERPOL2F1F_W36,POLIDEOLOGY,Very conservative,"[0.26699229, 0.10608635, 0.62692136]",0.006912999331132
7370,289,BETTERPOL2F1F_W36,POLIDEOLOGY,Very liberal,"[0.03400046, 0.49599194, 0.4700076]",0.0081579202293092
7401,320,BETTERBIZ1F2E_W36,POLIDEOLOGY,Conservative,"[0.50063563, 0.07649508, 0.42286929]",0.0
7402,321,BETTERBIZ1F2E_W36,POLIDEOLOGY,Liberal,"[0.35337521, 0.05941904, 0.58720575]",0.0380800509728611
7403,322,BETTERBIZ1F2E_W36,POLIDEOLOGY,Moderate,"[0.40851314, 0.12226091, 0.46922596]",0.0216872995560771
7404,323,BETTERBIZ1F2E_W36,POLIDEOLOGY,Very conservative,"[0.47421473, 0.03387129, 0.49191398]",0.0071279754749328
7405,324,BETTERBIZ1F2E_W36,POLIDEOLOGY,Very liberal,"[0.37639743, 0.01873466, 0.60486792]",0.0
7406,325,TRAITPOLMF1D_W36,POLIDEOLOGY,Conservative,"[0.80902132, 0.04229362, 0.14868506]",0.0063811368120835
7407,326,TRAITPOLMF1D_W36,POLIDEOLOGY,Liberal,"[0.62830698, 0.04725125, 0.32444177]",0.0061931293504658
7408,327,TRAITPOLMF1D_W36,POLIDEOLOGY,Moderate,"[0.59836182, 0.03468442, 0.36695375]",0.0067723764629366
7409,328,TRAITPOLMF1D_W36,POLIDEOLOGY,Very conservative,"[0.55842236, 0.06194139, 0.37963626]",0.0121651015495375
7410,329,TRAITPOLMF1D_W36,POLIDEOLOGY,Very liberal,"[0.60413078, 0.01353067, 0.38233855]",0.0081579202293092
7431,350,E5_W36,POLIDEOLOGY,Conservative,"[0.56910631, 0.10579389, 0.3250998]",0.0194836164744615
7432,351,E5_W36,POLIDEOLOGY,Liberal,"[0.54736963, 0.12037304, 0.33225733]",0.0165326415405529
7433,352,E5_W36,POLIDEOLOGY,Moderate,"[0.54056785, 0.09968238, 0.35974977]",0.0033708801793961
7434,353,E5_W36,POLIDEOLOGY,Very conservative,"[0.37130868, 0.17679524, 0.45189608]",0.0007194527799757
7435,354,E5_W36,POLIDEOLOGY,Very liberal,"[0.56113369, 0.14002515, 0.29884116]",0.0173343641915151
7436,355,ESSENBIZF2J_W36,POLIDEOLOGY,Conservative,"[0.66697382, 0.30114437, 0.0318818]",0.0092557541773419
7437,356,ESSENBIZF2J_W36,POLIDEOLOGY,Liberal,"[0.57788399, 0.39525692, 0.02685908]",0.0
7438,357,ESSENBIZF2J_W36,POLIDEOLOGY,Moderate,"[0.65809478, 0.30967838, 0.03222684]",0.0
7439,358,ESSENBIZF2J_W36,POLIDEOLOGY,Very conservative,"[0.68489924, 0.27980134, 0.03529941]",0.0
7440,359,ESSENBIZF2J_W36,POLIDEOLOGY,Very liberal,"[0.72464428, 0.25466053, 0.02069519]",0.0688006497790471
7441,360,WHYNOTPOLF1K_W36,POLIDEOLOGY,Conservative,"[0.16261984, 0.28362988, 0.55375028]",0.0062277031914901
7442,361,WHYNOTPOLF1K_W36,POLIDEOLOGY,Liberal,"[0.10814116, 0.3635212, 0.52833764]",0.0059327378040902
7443,362,WHYNOTPOLF1K_W36,POLIDEOLOGY,Moderate,"[0.09634762, 0.29530019, 0.60835219]",0.0005970075517314
7444,363,WHYNOTPOLF1K_W36,POLIDEOLOGY,Very conservative,"[0.15328123, 0.20623112, 0.64048765]",0.0
7445,364,WHYNOTPOLF1K_W36,POLIDEOLOGY,Very liberal,"[0.05551159, 0.39816284, 0.54632557]",0.0
7446,365,TRAITBIZMF2D_W36,POLIDEOLOGY,Conservative,"[0.71079068, 0.03740597, 0.25180334]",0.0020895538349261
7447,366,TRAITBIZMF2D_W36,POLIDEOLOGY,Liberal,"[0.55622893, 0.02413732, 0.41963375]",0.0
7448,367,TRAITBIZMF2D_W36,POLIDEOLOGY,Moderate,"[0.55041354, 0.0690689, 0.38051756]",0.0226009530568181
7449,368,TRAITBIZMF2D_W36,POLIDEOLOGY,Very conservative,"[0.65143016, 0.0282795, 0.32029034]",0.0332297858387978
7450,369,TRAITBIZMF2D_W36,POLIDEOLOGY,Very liberal,"[0.65445531, 0.04684293, 0.29870176]",0.0222992531471046
7456,375,ESSENBIZF2E_W36,POLIDEOLOGY,Conservative,"[0.39075571, 0.59977998, 0.0094643]",0.0
7457,376,ESSENBIZF2E_W36,POLIDEOLOGY,Liberal,"[0.32373673, 0.66513314, 0.01113014]",0.0
7458,377,ESSENBIZF2E_W36,POLIDEOLOGY,Moderate,"[0.44503885, 0.48990058, 0.06506057]",0.0
7459,378,ESSENBIZF2E_W36,POLIDEOLOGY,Very conservative,"[0.58272984, 0.41249532, 0.00477484]",0.0
7460,379,ESSENBIZF2E_W36,POLIDEOLOGY,Very liberal,"[0.40402349, 0.57631891, 0.0196576]",0.0018002944244062
7476,395,WMNPRZ1_W36,POLIDEOLOGY,Conservative,"[0.1810109, 0.55565903, 0.20713466, 0.05619542]",0.0257768381434762
7477,396,WMNPRZ1_W36,POLIDEOLOGY,Liberal,"[0.60631403, 0.33382308, 0.04230172, 0.01756117]",0.0052468608787579
7478,397,WMNPRZ1_W36,POLIDEOLOGY,Moderate,"[0.41542794, 0.45284935, 0.10797647, 0.02374623]",0.0073807644490604
7479,398,WMNPRZ1_W36,POLIDEOLOGY,Very conservative,"[0.21591959, 0.40659357, 0.22416468, 0.15332217]",0.0331192898654751
7480,399,WMNPRZ1_W36,POLIDEOLOGY,Very liberal,"[0.6886964, 0.26817863, 0.02974684, 0.01337813]",0.0010247249784271
7486,405,ESSENPOLF1H_W36,POLIDEOLOGY,Conservative,"[0.6191122, 0.34439297, 0.03649483]",0.0
7487,406,ESSENPOLF1H_W36,POLIDEOLOGY,Liberal,"[0.77021559, 0.20438171, 0.02540269]",0.0
7488,407,ESSENPOLF1H_W36,POLIDEOLOGY,Moderate,"[0.70886115, 0.2541746, 0.03696425]",0.0034647919440374
7489,408,ESSENPOLF1H_W36,POLIDEOLOGY,Very conservative,"[0.51891081, 0.32347986, 0.15760933]",0.0121651015495375
7490,409,ESSENPOLF1H_W36,POLIDEOLOGY,Very liberal,"[0.7708436, 0.14798021, 0.0811762]",0.000956364576209
7491,410,TRAITPOLWF1G_W36,POLIDEOLOGY,Conservative,"[0.56758074, 0.05129428, 0.38112498]",0.0295184684307417
7492,411,TRAITPOLWF1G_W36,POLIDEOLOGY,Liberal,"[0.56861664, 0.05374535, 0.37763801]",0.0
7493,412,TRAITPOLWF1G_W36,POLIDEOLOGY,Moderate,"[0.63735056, 0.07923027, 0.28341917]",0.0042854206906802
7494,413,TRAITPOLWF1G_W36,POLIDEOLOGY,Very conservative,"[0.54500929, 0.01944299, 0.43554771]",0.0030861533460887
7495,414,TRAITPOLWF1G_W36,POLIDEOLOGY,Very liberal,"[0.68959793, 0.06403508, 0.24636699]",0.0009199583617635
7496,415,WHYNOTBIZF2H_W36,POLIDEOLOGY,Conservative,"[0.41917321, 0.35519038, 0.22563642]",0.0
7497,416,WHYNOTBIZF2H_W36,POLIDEOLOGY,Liberal,"[0.77681734, 0.16706432, 0.05611834]",0.0
7498,417,WHYNOTBIZF2H_W36,POLIDEOLOGY,Moderate,"[0.67983007, 0.19842479, 0.12174514]",0.0161353692752713
